rank,feature,split,gain,gain_pct,cumulative_pct
361,V17,54,533.69,0.01,99.74
362,V250,88,533.09,0.01,99.74
363,V144,86,530.18,0.01,99.75
364,V141,41,528.82,0.01,99.76
365,V174,51,528.26,0.01,99.77
366,V194,61,503.91,0.01,99.78
367,V182,53,470.69,0.01,99.79
368,V191,39,459.64,0.01,99.8
369,V252,24,445.55,0.01,99.81
370,V18,44,435.43,0.01,99.81
371,V183,68,428.03,0.01,99.82
372,V186,92,399.2,0.01,99.83
373,V337,51,396.37,0.01,99.84
374,V226,50,383.46,0.01,99.84
375,V32,44,370.46,0.01,99.85
376,V22,52,364.1,0.01,99.86
377,V116,66,353.09,0.01,99.86
378,V325,7,349.38,0.01,99.87
379,id_28,54,345.43,0.01,99.88
380,V108,78,342.3,0.01,99.88
381,V1,44,338.2,0.01,99.89
382,V179,45,325.99,0.01,99.89
383,V16,33,324.38,0.01,99.9
384,V255,74,318.95,0.01,99.9
385,V302,51,306.68,0.01,99.91
386,V237,56,302.91,0.01,99.92
387,V195,63,283.15,0.01,99.92
388,V196,15,270.62,0.0,99.93
389,V297,81,262.62,0.0,99.93
390,V110,37,257.41,0.0,99.93
391,V114,39,239.71,0.0,99.94
392,V185,43,233.65,0.0,99.94
393,id_12,34,232.25,0.0,99.95
394,V153,39,227.28,0.0,99.95
395,V104,51,227.27,0.0,99.96
396,V328,19,224.95,0.0,99.96
397,V21,36,193.53,0.0,99.96
398,V240,53,184.56,0.0,99.97
399,V193,38,181.27,0.0,99.97
400,V113,38,176.1,0.0,99.97
401,V118,64,172.23,0.0,99.98
402,V65,4,169.42,0.0,99.98
403,V269,54,157.18,0.0,99.98
404,V235,31,153.07,0.0,99.98
405,V31,23,145.52,0.0,99.99
406,id_29,22,123.75,0.0,99.99
407,V14,19,117.89,0.0,99.99
408,V181,27,115.02,0.0,99.99
409,V177,26,109.44,0.0,100.0
410,V41,11,85.57,0.0,100.0
411,V120,29,77.38,0.0,100.0
412,V122,8,50.24,0.0,100.0
413,V88,5,29.26,0.0,100.0
414,V107,2,8.64,0.0,100.0
415,V241,2,5.03,0.0,100.0
416,V68,1,4.27,0.0,100.0
417,V119,1,0.91,0.0,100.0
418,id_20,0,0.0,0.0,100.0
419,id_11,0,0.0,0.0,100.0
420,V117,0,0.0,0.0,100.0
421,V89,0,0.0,0.0,100.0
422,V305,0,0.0,0.0,100.0
423,V27,0,0.0,0.0,100.0
424,V28,0,0.0,0.0,100.0
